city,district,rooms,area,price
Almaty,Медеуский р-н,3,97.71,145210500
Almaty,Бостандыкский р-н,3,123.23,245104470
Almaty,Алатауский р-н,1,46.8,36940980
Almaty,Ауэзовский р-н,1,26.0,17000000
Almaty,Жетысуский р-н,1,44.0,25500000
Almaty,Бостандыкский р-н,4,150.0,129000000
Almaty,Алмалинский р-н,3,70.5,47500000
Almaty,Ауэзовский р-н,4,100.0,55000000
Almaty,Бостандыкский р-н,3,86.0,80000000
Almaty,Алмалинский р-н,3,65.0,40000000
Almaty,Ауэзовский р-н,2,67.2,45999999
Almaty,Медеуский р-н,3,105.0,115000000
Almaty,Турксибский р-н,1,45.1,27500000
Almaty,Бостандыкский р-н,3,98.0,120000000
Almaty,Жетысуский р-н,3,64.0,43000000
Almaty,Ауэзовский р-н,2,44.5,26500000
Almaty,Алатауский р-н,2,47.92,34837840
Almaty,Ауэзовский р-н,1,43.78,44655600
Almaty,Алмалинский р-н,1,42.0,35000000
Almaty,Ауэзовский р-н,2,50.0,32000000
Almaty,Алатауский р-н,2,58.0,32500000
Almaty,Алатауский р-н,3,71.0,45000000
Almaty,Ауэзовский р-н,2,46.0,31500000
Almaty,Unknown,3,86.6,44382500
Almaty,Жетысуский р-н,3,65.8,48865359
Almaty,Алатауский р-н,1,43.5,16095000
Almaty,Бостандыкский р-н,2,55.7,38000000
Almaty,Алмалинский р-н,4,82.0,65000000
Almaty,Алатауский р-н,2,58.0,33800000
Almaty,Бостандыкский р-н,2,50.0,56000000
Almaty,Алатауский р-н,2,64.0,35000000
Almaty,Наурызбайский р-н,3,75.4,37500000
Almaty,Бостандыкский р-н,2,81.0,75600000
Almaty,Алатауский р-н,1,40.0,23000000
Almaty,Ауэзовский р-н,3,69.5,48000000
Almaty,Жетысуский р-н,1,44.0,24700000
Almaty,Турксибский р-н,2,66.2,37999000
Almaty,Бостандыкский р-н,2,39.0,23000000
Almaty,Медеуский р-н,3,91.19,68392500
Almaty,Медеуский р-н,2,73.26,98716000
Almaty,Алатауский р-н,1,45.9,16983000
Almaty,Бостандыкский р-н,2,51.2,35000000
Almaty,Наурызбайский р-н,3,87.0,72000000
Almaty,Алатауский р-н,2,58.0,23000000
Almaty,Алмалинский р-н,2,62.8,40500000
Almaty,Бостандыкский р-н,2,51.2,35000000
Almaty,Наурызбайский р-н,3,87.0,72000000
Almaty,Алатауский р-н,2,58.0,23000000
Almaty,Алмалинский р-н,2,62.8,40500000
Almaty,Алмалинский р-н,2,70.0,72000000
Almaty,Unknown,1,33.6,12768000
Almaty,Ауэзовский р-н,2,94.8,74892000
Almaty,Бостандыкский р-н,3,137.0,98640000
Almaty,Unknown,5,168.5,82569900
Almaty,Алмалинский р-н,2,33.6,36000000
Almaty,Ауэзовский р-н,3,60.0,34500000
Almaty,Unknown,2,72.0,38000000
Almaty,Ауэзовский р-н,1,37.0,29000000
Almaty,Алатауский р-н,3,67.9,40500000
Almaty,Бостандыкский р-н,2,97.4,82000000
Almaty,Алмалинский р-н,2,56.0,46000000
Almaty,Бостандыкский р-н,2,45.0,47000000
Almaty,Бостандыкский р-н,2,56.0,42500000
Almaty,Наурызбайский р-н,3,76.0,48000000
Almaty,Алатауский р-н,1,47.0,25000000
Almaty,Алмалинский р-н,3,80.0,43500000
Almaty,Медеуский р-н,2,61.0,45000000
Almaty,Бостандыкский р-н,1,30.0,29500000
Almaty,Ауэзовский р-н,1,71.4,42900000
Almaty,Бостандыкский р-н,4,100.0,71000000
Almaty,Наурызбайский р-н,1,39.0,21999999
Almaty,Жетысуский р-н,1,35.0,20000000
Almaty,Бостандыкский р-н,2,42.0,41990000
Almaty,Бостандыкский р-н,2,61.0,70000000
Almaty,Unknown,1,29.89,11672045
Almaty,Алатауский р-н,2,48.86,39283440
Almaty,Бостандыкский р-н,1,65.92,63810560
Almaty,Бостандыкский р-н,5,220.0,125000000
Almaty,Бостандыкский р-н,2,55.1,38000000
Almaty,Алмалинский р-н,3,74.3,58000000
Almaty,Ауэзовский р-н,1,34.5,30000000
Almaty,Алатауский р-н,2,49.5,25500000
Almaty,Наурызбайский р-н,2,51.0,34500000
Almaty,Медеуский р-н,3,76.0,77000000
Almaty,Медеуский р-н,1,34.4,31500000
Almaty,Алмалинский р-н,2,64.0,40000000
Almaty,Алатауский р-н,2,72.3,33000000
Almaty,Алатауский р-н,2,55.0,32500000
Almaty,Турксибский р-н,2,48.1,21500000
Almaty,Алмалинский р-н,1,44.6,53520000
Almaty,Алмалинский р-н,3,82.0,67000000
Almaty,Алмалинский р-н,1,30.8,25500000
Almaty,Бостандыкский р-н,2,78.1,74500000
Almaty,Алмалинский р-н,3,63.0,47000000
Almaty,Алатауский р-н,3,77.0,45000000
Almaty,Ауэзовский р-н,3,90.8,80000000
Almaty,Алатауский р-н,1,23.5,7600000
Almaty,Наурызбайский р-н,3,93.6,54288000
Almaty,Турксибский р-н,3,82.28,31677800
Almaty,Алатауский р-н,2,66.0,37000000
Almaty,Бостандыкский р-н,1,38.1,37000000
Almaty,Алатауский р-н,2,69.0,35500000
Almaty,Наурызбайский р-н,1,50.0,41500000
Almaty,Медеуский р-н,2,48.0,28500000
Almaty,Турксибский р-н,1,39.5,31500000
Almaty,Алатауский р-н,2,58.0,23000000
Almaty,Наурызбайский р-н,2,98.0,37000000
Almaty,Медеуский р-н,2,50.2,47300000
Almaty,Жетысуский р-н,1,39.0,18000000
Almaty,Алатауский р-н,1,48.0,28900000
Almaty,Турксибский р-н,2,54.0,29000000
Almaty,Медеуский р-н,3,91.0,93000000
Almaty,Наурызбайский р-н,3,70.0,37500000
Almaty,Алмалинский р-н,4,97.2,71500000
Almaty,Турксибский р-н,2,56.4,27354000
Almaty,Бостандыкский р-н,2,110.0,109000000
Almaty,Алатауский р-н,1,38.0,26000000
Almaty,Unknown,2,48.0,46000000
Almaty,Медеуский р-н,2,52.0,57120000
Almaty,Бостандыкский р-н,4,120.0,109999000
Almaty,Жетысуский р-н,3,96.0,66000000
Almaty,Ауэзовский р-н,2,90.0,67000000
Almaty,Жетысуский р-н,3,72.16,52821120
Almaty,Бостандыкский р-н,3,143.37,119857320
Almaty,Ауэзовский р-н,4,132.1,143989000
Almaty,Турксибский р-н,2,63.76,31880000
Almaty,Алмалинский р-н,3,85.0,55000000
Almaty,Алатауский р-н,2,57.7,31500000
Almaty,Алатауский р-н,1,37.0,21500000
Almaty,Бостандыкский р-н,3,100.0,70000000
Almaty,Алмалинский р-н,2,56.5,43000000
Almaty,Unknown,2,67.5,37057500
Almaty,Турксибский р-н,1,42.62,20670700
Almaty,Бостандыкский р-н,3,103.0,84000000
Almaty,Ауэзовский р-н,2,44.4,26500000
Almaty,Алатауский р-н,2,52.0,28000000
Almaty,Наурызбайский р-н,3,91.0,63000000
Almaty,Ауэзовский р-н,3,89.6,49000000
Almaty,Unknown,1,39.4,23064760
Almaty,Наурызбайский р-н,2,68.0,38500000
Almaty,Бостандыкский р-н,3,105.1,90000000
Almaty,Алатауский р-н,3,75.7,36999999
Almaty,Жетысуский р-н,3,56.6,39500000
Almaty,Unknown,3,75.98,28416520
Almaty,Бостандыкский р-н,2,93.11,79329720
Almaty,Медеуский р-н,6,386.0,445000000
Almaty,Бостандыкский р-н,4,135.07,195851500
Almaty,Алатауский р-н,2,46.82,36940980
Almaty,Наурызбайский р-н,5,182.2,118000000
Almaty,Бостандыкский р-н,1,20.0,16200000
Almaty,Турксибский р-н,3,70.0,42000000
Almaty,Бостандыкский р-н,3,81.0,48000000
Almaty,Алатауский р-н,3,91.0,47500000
Almaty,Медеуский р-н,3,167.0,128000000
Almaty,Бостандыкский р-н,3,59.0,41000000
Almaty,Медеуский р-н,3,83.0,43000000
Almaty,Алатауский р-н,1,37.0,21000000
Almaty,Турксибский р-н,2,45.0,26500000
Almaty,Алмалинский р-н,3,75.0,61000000
Almaty,Наурызбайский р-н,5,175.0,157500000
Almaty,Алмалинский р-н,2,53.2,48500000
Almaty,Ауэзовский р-н,2,48.0,35999999
Almaty,Бостандыкский р-н,3,59.0,62000000
Almaty,Жетысуский р-н,2,44.0,28000000
Almaty,Медеуский р-н,2,83.0,69000000
Almaty,Наурызбайский р-н,2,92.6,45000000
Almaty,Бостандыкский р-н,4,182.7,228375000
Almaty,Жетысуский р-н,1,40.0,19000000
Almaty,Турксибский р-н,2,54.4,32000000
Almaty,Unknown,3,98.9,75000000
Almaty,Ауэзовский р-н,3,100.0,61000000
Almaty,Бостандыкский р-н,5,215.0,210000000
Almaty,Бостандыкский р-н,2,68.0,70000000
Almaty,Медеуский р-н,3,111.91,171669940
Almaty,Алатауский р-н,1,27.5,10450000
Almaty,Алмалинский р-н,1,34.4,26500000
Almaty,Алмалинский р-н,1,33.4,26500000
Almaty,Алатауский р-н,1,42.0,21000000
Almaty,Наурызбайский р-н,3,86.0,43000000
Almaty,Алмалинский р-н,3,82.0,62000000
Almaty,Бостандыкский р-н,3,100.5,87000000
Almaty,Медеуский р-н,1,63.0,69300000
Almaty,Бостандыкский р-н,3,123.0,88000000
Almaty,Алмалинский р-н,4,170.0,130000000
Almaty,Бостандыкский р-н,3,75.0,73500000
Almaty,Наурызбайский р-н,2,60.28,22000000
Almaty,Ауэзовский р-н,1,18.0,11800000
Almaty,Наурызбайский р-н,1,32.0,19500000
Almaty,Медеуский р-н,3,90.0,87000000
